订单号,产品类别,产品名称,销售数量,单价,销售金额
4869762451,电子产品,鼠标,2,197,394
3408258453,家居用品,保温杯,3,13,39
9182186904,电子产品,充电宝,1,315,315
3540321690,图书,杂志,7,340,2380
5502553501,图书,教材,9,221,1989
1457489309,图书,绘本,9,178,1602
2508010912,电子产品,电动牙刷,5,158,790
4775538090,家居用品,毯子,8,294,2352
4460881325,图书,小说,5,144,720
7223895474,电子产品,充电宝,3,31,93
5090530738,家居用品,保温杯,4,83,332
3700655540,食品,海苔,3,381,1143
1543738806,电子产品,智能音箱,10,243,2430
6903436729,电子产品,鼠标,3,42,126
9065700795,食品,坚果,5,388,1940
7986863547,食品,饼干,5,341,1705
4473597373,家居用品,保温杯,7,174,1218
7342458305,食品,饼干,3,146,438
9705196996,电子产品,鼠标,8,177,1416
3562489285,服装,帽子,6,133,798
5205966281,食品,牛奶,2,81,162
9439083978,图书,教材,6,14,84
3133750731,食品,海苔,7,377,2639
2943165902,服装,运动鞋,5,106,530
8324369871,电子产品,鼠标,5,164,820
2848478672,电子产品,鼠标,4,192,768
7277977041,电子产品,智能音箱,4,2,8
7307996625,家居用品,台灯,7,45,315
2896014804,图书,绘本,9,331,2979
8330823127,家居用品,保温杯,5,227,1135
2407169496,电子产品,智能音箱,5,17,85
9902405080,电子产品,电动牙刷,4,221,884
4723484120,图书,小说,5,120,600
4542715362,电子产品,蓝牙耳机,2,219,438
1385350626,电子产品,鼠标,4,343,1372
1753378279,食品,饼干,8,83,664
2391219691,电子产品,蓝牙耳机,10,78,780
6133978604,服装,运动鞋,10,202,2020
7090970094,服装,外套,7,137,959
8318225903,图书,绘本,5,191,955
6386820592,图书,小说,1,269,269
2239329774,食品,海苔,5,165,825
1705305586,图书,杂志,4,296,1184
8133895663,图书,杂志,9,243,2187
2101439988,服装,外套,10,189,1890
9969483253,食品,海苔,4,154,616
1776905712,电子产品,智能音箱,7,20,140
6994339313,电子产品,蓝牙耳机,7,361,2527
6117088762,图书,杂志,9,130,1170
7484511740,服装,外套,9,216,1944
7131231741,服装,帽子,6,4,24
1581884927,食品,坚果,7,369,2583
1129971199,食品,巧克力,6,318,1908
1400466946,家居用品,保温杯,3,105,315
9875226114,电子产品,充电宝,4,61,244
7530481157,食品,巧克力,6,381,2286
7186480645,服装,T恤,9,202,1818
3540932108,图书,小说,10,305,3050
7070064140,家居用品,毯子,3,159,477
5017038351,服装,帽子,1,187,187
4379565587,食品,饼干,6,157,942
1812907540,服装,外套,2,222,444
9316382228,电子产品,智能音箱,2,36,72
6640598556,食品,坚果,2,57,114
1950015006,电子产品,智能音箱,10,365,3650
9839058464,服装,外套,6,161,966
3182509601,服装,外套,7,317,2219
7979279905,家居用品,保温杯,10,71,710
5253576227,图书,杂志,7,259,1813
3663509028,图书,教材,4,1,4
8485805606,服装,运动鞋,4,398,1592
3189831206,电子产品,鼠标,10,45,450
3129503272,食品,牛奶,3,129,387
4883486249,家居用品,台灯,1,291,291
2846998059,食品,牛奶,6,357,2142
2388522541,家居用品,保温杯,8,398,3184
6038316590,家居用品,保温杯,5,47,235
7244095024,服装,外套,9,146,1314
6172370481,电子产品,智能音箱,9,309,2781
4400072241,食品,牛奶,4,46,184
6933077556,家居用品,收纳盒,6,120,720
7924067895,家居用品,收纳盒,1,209,209
2316127800,家居用品,收纳盒,6,2,12
6698530361,食品,海苔,8,360,2880
7835655738,服装,牛仔裤,1,369,369
8074206785,图书,小说,9,78,702
5514110530,食品,坚果,5,200,1000
7410802243,服装,外套,8,137,1096
5292580422,图书,杂志,1,288,288
5957221961,服装,外套,2,11,22
7922808394,家居用品,毯子,6,98,588
8494364237,服装,T恤,3,330,990
8182675028,服装,帽子,8,158,1264
8003216982,家居用品,枕头,2,232,464
5705895512,食品,牛奶,9,294,2646
5096330841,服装,帽子,5,307,1535
9235633754,家居用品,枕头,10,27,270
9070708318,图书,绘本,1,261,261
7939651169,服装,运动鞋,5,352,1760
9412902498,电子产品,蓝牙耳机,2,319,638
3678072775,家居用品,枕头,8,305,2440
5147641445,服装,外套,5,181,905
6440664678,服装,T恤,7,99,693
2347062886,家居用品,毯子,4,220,880
7196710510,家居用品,枕头,4,66,264
1792382575,服装,T恤,8,154,1232
3124409972,电子产品,智能音箱,8,291,2328
7486752376,食品,海苔,3,127,381
6199815801,图书,小说,2,309,618
6060455547,食品,巧克力,6,182,1092
7443830397,食品,饼干,6,66,396
2724236927,图书,教材,9,341,3069
1723131520,家居用品,收纳盒,8,220,1760
7308121728,图书,漫画,9,338,3042
9912895109,服装,T恤,1,190,190
3427120774,图书,漫画,10,317,3170
8337233544,食品,巧克力,1,220,220
7306247819,电子产品,鼠标,10,343,3430
7192798861,电子产品,充电宝,4,261,1044
3251369614,电子产品,电动牙刷,4,256,1024
8965047951,服装,帽子,10,329,3290
2382171792,食品,海苔,5,135,675
9799736977,服装,帽子,6,254,1524
6710269585,服装,外套,7,339,2373
6590736021,服装,外套,9,25,225
1997371029,电子产品,电动牙刷,1,98,98
6628359830,食品,饼干,3,283,849
2045691544,电子产品,鼠标,8,340,2720
1529452186,电子产品,充电宝,10,42,420
7984565914,食品,牛奶,3,183,549
5734747811,电子产品,蓝牙耳机,7,357,2499
6173927078,家居用品,收纳盒,7,356,2492
8488578726,食品,牛奶,7,298,2086
5704709801,图书,杂志,4,185,740
4726546090,家居用品,台灯,5,113,565
3617083051,食品,坚果,10,175,1750
8153683627,家居用品,台灯,8,221,1768
1481295533,服装,外套,3,319,957
3726638766,食品,牛奶,6,398,2388
1009911469,图书,小说,5,258,1290
7364228779,食品,饼干,10,3,30
6981752498,电子产品,蓝牙耳机,2,56,112
4197127859,图书,绘本,5,272,1360
5414735541,食品,海苔,1,40,40
4265588406,服装,T恤,10,195,1950
3218433717,服装,T恤,10,291,2910
1933457083,电子产品,智能音箱,1,277,277
4492715707,服装,牛仔裤,4,399,1596
2753144511,服装,T恤,1,175,175
3754952384,电子产品,蓝牙耳机,2,19,38
6914924224,图书,教材,3,172,516
9368600258,图书,杂志,10,155,1550
9082883781,图书,漫画,3,140,420
7124530886,电子产品,蓝牙耳机,9,395,3555
5273024205,图书,漫画,7,48,336
7975777998,服装,外套,10,159,1590
1783332562,食品,海苔,10,140,1400
9747533522,服装,外套,5,250,1250
1322450643,服装,外套,4,33,132
5805711059,食品,巧克力,7,328,2296
4015644375,食品,海苔,3,372,1116
6649956059,家居用品,毯子,2,258,516
1267771101,图书,杂志,6,322,1932
5382622942,食品,巧克力,4,12,48
6608639715,图书,绘本,4,113,452
2326456036,服装,运动鞋,2,379,758
5715054308,服装,帽子,3,212,636
7879993064,服装,T恤,1,140,140
3872263913,服装,帽子,1,265,265
2121762538,服装,外套,1,186,186
9939728107,电子产品,蓝牙耳机,1,126,126
8093345516,家居用品,台灯,10,246,2460
7602476783,图书,教材,3,15,45
3799809778,食品,坚果,5,51,255
1884901107,图书,小说,10,380,3800
9273609971,服装,T恤,8,182,1456
1061443317,服装,运动鞋,6,293,1758
5713012472,电子产品,充电宝,1,251,251
8908613368,图书,教材,2,367,734
1722287868,家居用品,台灯,8,340,2720
7264335613,服装,帽子,8,344,2752
2694405885,服装,帽子,7,16,112
7467611906,食品,牛奶,8,360,2880
2650775300,食品,牛奶,10,351,3510
5358608133,食品,饼干,2,220,440
6071973642,家居用品,枕头,10,150,1500
8586854156,服装,运动鞋,8,230,1840
8392791822,家居用品,台灯,8,49,392
7043583759,服装,帽子,9,270,2430
6626971407,食品,海苔,4,146,584
9405595408,图书,漫画,7,375,2625
5771624209,图书,杂志,5,16,80
5858608915,电子产品,蓝牙耳机,9,2,18
7086116627,食品,牛奶,7,243,1701
8359943954,电子产品,充电宝,5,332,1660
8916160278,图书,漫画,10,126,1260
8995483406,服装,T恤,8,264,2112
8905215768,图书,教材,7,187,1309
8228288280,家居用品,收纳盒,4,206,824
3182769946,家居用品,台灯,3,99,297
4349669143,电子产品,智能音箱,3,331,993
1094860572,电子产品,蓝牙耳机,9,162,1458
7836380957,图书,小说,3,258,774
5551232797,食品,坚果,4,386,1544
3714129695,图书,教材,5,83,415
8894363423,图书,漫画,9,46,414
8156534564,电子产品,鼠标,2,255,510
2939383589,家居用品,保温杯,1,152,152
5825347365,食品,海苔,5,126,630
1297471271,服装,T恤,2,258,516
1527742245,电子产品,智能音箱,6,109,654
6613368617,食品,巧克力,5,314,1570
4479743783,家居用品,枕头,1,337,337
3019163436,电子产品,蓝牙耳机,5,47,235
4007104307,图书,小说,3,134,402
7198709557,服装,运动鞋,6,34,204
3766202167,图书,绘本,9,99,891
9552164665,服装,帽子,8,367,2936
8579206970,电子产品,充电宝,4,57,228
4445800257,服装,T恤,1,316,316
1607253829,图书,绘本,4,90,360
6888263496,家居用品,台灯,10,122,1220
6584549196,家居用品,毯子,10,322,3220
6689226573,服装,运动鞋,2,386,772
4683095886,食品,坚果,6,347,2082
5646505805,服装,运动鞋,3,74,222
2435352397,电子产品,鼠标,7,399,2793
3539146576,食品,巧克力,1,296,296
9997891412,电子产品,鼠标,7,156,1092
8576608084,图书,杂志,5,231,1155
7814186839,家居用品,收纳盒,5,251,1255
5173466969,食品,饼干,7,104,728
5498732381,食品,海苔,9,295,2655
3903158128,食品,巧克力,5,64,320
1331351411,电子产品,电动牙刷,4,223,892
4779599731,图书,漫画,6,119,714
6658279284,图书,杂志,4,71,284
9694521206,家居用品,保温杯,10,240,2400
1571512188,服装,运动鞋,7,305,2135
7907020671,图书,绘本,8,330,2640
4190840705,图书,杂志,2,398,796
8480597893,服装,牛仔裤,6,156,936
6121678726,食品,牛奶,8,318,2544
9178658697,食品,饼干,2,39,78
8440311692,图书,小说,4,192,768
6849607565,电子产品,电动牙刷,10,108,1080
8293742478,食品,饼干,3,32,96
8885698447,电子产品,蓝牙耳机,10,78,780
4284411793,服装,运动鞋,3,175,525
1762078609,电子产品,充电宝,8,164,1312
2204821395,家居用品,保温杯,6,17,102
8601964436,家居用品,收纳盒,8,222,1776
8297392022,图书,绘本,3,82,246
4429303704,服装,T恤,3,332,996
8541417369,家居用品,保温杯,8,1,8
8848476060,家居用品,保温杯,1,274,274
7623659424,食品,海苔,1,107,107
6887368610,家居用品,收纳盒,4,132,528
9268066210,家居用品,保温杯,7,219,1533
1203107746,电子产品,电动牙刷,8,367,2936
4378959778,图书,教材,8,225,1800
3707211687,食品,海苔,5,322,1610
6787706796,食品,巧克力,9,246,2214
4233160621,电子产品,鼠标,5,274,1370
4369956784,电子产品,蓝牙耳机,10,77,770
9576150960,食品,坚果,4,145,580
9282295729,图书,教材,7,339,2373
4467154866,服装,外套,4,349,1396
9208125366,家居用品,保温杯,10,85,850
9958938557,服装,帽子,9,81,729
2516746173,图书,教材,4,181,724
2467567551,食品,饼干,7,4,28
2045190080,图书,绘本,6,267,1602
8453558208,家居用品,毯子,9,167,1503
8741533633,食品,巧克力,5,248,1240
6712160195,家居用品,毯子,9,355,3195
8175910852,家居用品,台灯,6,72,432
5161056198,家居用品,台灯,6,213,1278
3118321607,家居用品,收纳盒,3,54,162
6044956616,电子产品,电动牙刷,1,343,343
8861165511,食品,坚果,4,170,680
6514104266,电子产品,蓝牙耳机,8,385,3080
5953951689,电子产品,鼠标,1,285,285
3051638732,家居用品,保温杯,10,375,3750
6432202701,图书,教材,3,223,669
7736852429,食品,牛奶,2,351,702
3881076687,电子产品,电动牙刷,4,41,164
7771078608,食品,坚果,2,251,502
8624422867,服装,牛仔裤,7,120,840
6629027801,图书,漫画,10,361,3610
8980426713,电子产品,充电宝,5,315,1575
4005480409,食品,巧克力,2,342,684
3897026524,家居用品,保温杯,4,310,1240
5672595423,食品,巧克力,2,271,542
1136355295,家居用品,毯子,2,130,260
8775649251,服装,T恤,3,61,183
8151637988,家居用品,台灯,4,152,608
2654400483,家居用品,台灯,8,310,2480
7561426920,图书,杂志,7,201,1407
2000381929,服装,帽子,6,186,1116
5400756202,图书,绘本,6,333,1998
4421685228,电子产品,智能音箱,7,395,2765
5112770542,电子产品,充电宝,10,110,1100
9807677424,服装,T恤,2,357,714
1383827443,家居用品,收纳盒,3,264,792
1475477497,食品,牛奶,3,390,1170
3479681020,图书,小说,1,385,385
